,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
242,75003,48.8566969,2.3514616,Centre Pompidou – Musée National d'Art Moderne,48.860729707273954,2.351660414040774,Art Museum
243,75003,48.8566969,2.3514616,Boutique du Centre Pompidou,48.860705743053124,2.3523616790771484,Souvenir Shop
244,75003,48.8566969,2.3514616,Sergeant Paper,48.860665157154486,2.350434511899948,Art Gallery
245,75003,48.8566969,2.3514616,Une Glace à Paris,48.858162463514056,2.3563510170868245,Ice Cream Shop
246,75003,48.8566969,2.3514616,Eataly Paris Marais,48.85862515030205,2.3545520907270636,Deli / Bodega
247,75003,48.8566969,2.3514616,Melodies graphiques,48.85505426275619,2.3555794116190616,Arts & Crafts Store
248,75003,48.8566969,2.3514616,Parvis Notre-Dame — Place Jean-Paul II,48.85340681055016,2.348456382751465,Plaza
249,75003,48.8566969,2.3514616,Amorino,48.85410974419184,2.3497639596462245,Ice Cream Shop
250,75003,48.8566969,2.3514616,Marc Le Bihan,48.858081,2.356583,Optical Shop
251,75003,48.8566969,2.3514616,Grom,48.856737028179374,2.356932789896476,Ice Cream Shop
252,75003,48.8566969,2.3514616,Rue des Barres,48.85510723755554,2.355042479755412,Pedestrian Plaza
253,75003,48.8566969,2.3514616,Au Vieux Comptoir,48.85889313897845,2.3461287908631747,French Restaurant
254,75003,48.8566969,2.3514616,Mémorial de la Shoah,48.854825897257065,2.3562544165218426,Memorial Site
255,75003,48.8566969,2.3514616,Les Thermes de Lutèce,48.854506,2.354329,Salon / Barbershop
256,75003,48.8566969,2.3514616,Le Saint-Régis,48.852930295842626,2.353724241256714,Bistro
257,75003,48.8566969,2.3514616,Amorino,48.860728471150594,2.351151788025163,Ice Cream Shop
258,75003,48.8566969,2.3514616,Izraël,48.855899675406235,2.3564513622063195,Gourmet Shop
259,75003,48.8566969,2.3514616,Pozzetto,48.85677361447428,2.356963685677311,Italian Restaurant
260,75003,48.8566969,2.3514616,La Caféothèque de Paris,48.85419716409349,2.355713729818569,Coffee Shop
261,75003,48.8566969,2.3514616,L'Ébouillanté,48.854887506938255,2.355199456214905,French Restaurant
262,75003,48.8566969,2.3514616,Autour du Saumon,48.85558694633289,2.3578015122239786,Scandinavian Restaurant
263,75003,48.8566969,2.3514616,Square Jean XXIII,48.85249912936207,2.3513748676734063,Park
264,75003,48.8566969,2.3514616,Cave à Bulles,48.86106822154757,2.350510874028137,Beer Store
265,75003,48.8566969,2.3514616,Artéfact,48.859159235782826,2.3567422381825898,Café
266,75003,48.8566969,2.3514616,La Belle Hortense,48.857511321700315,2.35752029558429,Wine Bar
267,75003,48.8566969,2.3514616,La Droguerie du Marais,48.857837832158246,2.3580553473763914,French Restaurant
268,75003,48.8566969,2.3514616,L'Horloge du Palais de la Cité,48.8561387406628,2.346155047416687,Historic Site
